group,taxon_a,taxon_b,factor,density_overlap
orientation,Cirsium esculentum,Cirsium heterophyllum,0.75,0.8376169853098384
orientation,Cirsium esculentum,Cirsium heterophyllum,1.0,0.8537682706534643
orientation,Cirsium esculentum,Cirsium heterophyllum,1.25,0.8691325924945781
orientation,Cirsium esculentum,Cirsium rhaphilepis,0.75,0.7921245375925186
orientation,Cirsium esculentum,Cirsium rhaphilepis,1.0,0.8122359560495077
orientation,Cirsium esculentum,Cirsium rhaphilepis,1.25,0.8295186999983503
orientation,Cirsium esculentum,Cirsium serratuloides,0.75,0.8549162460269982
orientation,Cirsium esculentum,Cirsium serratuloides,1.0,0.8729846132253426
orientation,Cirsium esculentum,Cirsium serratuloides,1.25,0.8869847871774468
orientation,Cirsium filipendulum,Cirsium heterophyllum,0.75,0.8924588715009265
orientation,Cirsium filipendulum,Cirsium heterophyllum,1.0,0.9190513409688745
orientation,Cirsium filipendulum,Cirsium heterophyllum,1.25,0.9296301469230039
orientation,Cirsium filipendulum,Cirsium japonicum,0.75,0.8362529538394562
orientation,Cirsium filipendulum,Cirsium japonicum,1.0,0.8518959251475806
orientation,Cirsium filipendulum,Cirsium japonicum,1.25,0.8642644143126658
orientation,Cirsium filipendulum,Cirsium pannonicum,0.75,0.7666275475512694
orientation,Cirsium filipendulum,Cirsium pannonicum,1.0,0.7831571692252848
orientation,Cirsium filipendulum,Cirsium pannonicum,1.25,0.8013691426844922
orientation,Cirsium flodmanii,Cirsium japonicum,0.75,0.753527131741554
orientation,Cirsium flodmanii,Cirsium japonicum,1.0,0.764515816671293
orientation,Cirsium flodmanii,Cirsium japonicum,1.25,0.7788737426222547
orientation,Cirsium flodmanii,Cirsium serrulatum,0.75,0.8718054291259745
orientation,Cirsium flodmanii,Cirsium serrulatum,1.0,0.8924088742785847
orientation,Cirsium flodmanii,Cirsium serrulatum,1.25,0.9079738478385843
orientation,Cirsium helenioides,Cirsium monspessulanum,0.75,0.8724238062720961
orientation,Cirsium helenioides,Cirsium monspessulanum,1.0,0.8966350496565867
orientation,Cirsium helenioides,Cirsium monspessulanum,1.25,0.9119015891306987
orientation,Cirsium helenioides,Cirsium palustre,0.75,0.8293035542107076
orientation,Cirsium helenioides,Cirsium palustre,1.0,0.8566191231036757
orientation,Cirsium helenioides,Cirsium palustre,1.25,0.8861795239125898
orientation,Cirsium helenioides,Cirsium pannonicum,0.75,0.7608191913029887
orientation,Cirsium helenioides,Cirsium pannonicum,1.0,0.7890838258736163
orientation,Cirsium helenioides,Cirsium pannonicum,1.25,0.8131315297723267
orientation,Cirsium helenioides,Cirsium pumilum,0.75,0.840272988486356
orientation,Cirsium helenioides,Cirsium pumilum,1.0,0.8670925655928481
orientation,Cirsium helenioides,Cirsium pumilum,1.25,0.8905557711500476
orientation,Cirsium helenioides,Cirsium serratuloides,0.75,0.9011875641561065
orientation,Cirsium helenioides,Cirsium serratuloides,1.0,0.9180734571941922
orientation,Cirsium helenioides,Cirsium serratuloides,1.25,0.9364761485511889
orientation,Cirsium heterophyllum,Cirsium monspessulanum,0.75,0.8915031575003811
orientation,Cirsium heterophyllum,Cirsium monspessulanum,1.0,0.9030478570392103
orientation,Cirsium heterophyllum,Cirsium monspessulanum,1.25,0.9062262271643986
