obs_id,taxon_name,n_usable_heads,min_dimension_median,sharpness_median,involucre_projection_roughness,involucre_spread_fraction,spine_relative_length_max_proxy,coordinate_precision_tier,env_chelsa_bio01_native,env_chelsa_bio04_native,env_chelsa_bio12_native,env_chelsa_bio15_native,log_min_dimension,log1p_sharpness,resolution_stratum
23860105,Cirsium pacificum,1,163.0,9302.292035509212,0.0871542692079791,0.3076923076923077,0.2593399880908556,high_le_1km,2940.0,2162.0,1296.0,1162.0,5.093750200806762,9.138123598817208,150_199
24896106,Cirsium engelmannii,1,192.0,4897.724402197432,0.0763214223790692,0.247191011235955,0.1593037539214938,high_le_1km,2921.0,7615.0,919.0,274.0,5.2574953720277815,8.496730124125845,150_199
24950772,Cirsium texanum,1,192.0,4123.78260320425,0.0766714133695429,0.3146067415730337,0.1677721773696072,high_le_1km,2931.0,6435.0,847.0,299.0,5.2574953720277815,8.324768595126454,150_199
25084306,Cirsium brevistylum,1,330.0,6340.297215907432,0.1312654494149045,0.3067714917825537,0.4422526542750914,high_le_1km,2830.0,3168.0,4075.0,553.0,5.799092654460526,8.754838634689163,300_plus
25088132,Cirsium texanum,1,206.0,3487.243739505483,0.0767874145768286,0.3152173913043478,0.1642576630501903,high_le_1km,2891.0,8780.0,690.0,455.0,5.327876168789581,8.157153662032794,200_299
25231729,Cirsium occidentale,1,161.0,1944.034342824964,0.1192106852819584,0.4444444444444444,0.2318872566895984,unknown,2876.0,1480.0,494.0,1041.0,5.081404364984463,7.57303491287608,150_199
25310629,Cirsium brevicaule,1,370.0,4825.454042991539,0.0478983260420663,0.145631067961165,0.0852721189737425,unknown,2966.0,3505.0,1142.0,745.0,5.91350300563827,8.481867324434893,300_plus
25442700,Cirsium horridulum,2,236.5,3044.1405505319817,0.10299395131597991,0.2727272727272727,0.2941170949302577,high_le_1km,2924.0,5749.0,1286.0,322.0,5.465948207931988,8.021302336888933,200_299
25484483,Cirsium carolinianum,1,313.0,2164.977102775521,0.0789056434685465,0.3333333333333333,0.2394178091551614,high_le_1km,2874.0,7547.0,1493.0,190.0,5.746203190540153,7.680626856302623,300_plus
25836920,Cirsium carolinianum,1,281.0,1258.6836351519985,0.1439693939969306,0.3829787234042553,0.3815221558363607,high_le_1km,2883.0,7712.0,1170.0,112.0,5.638354669333745,7.138615885206157,200_299
