obs_id,taxon_name,latitude,longitude,tdwg_level3_code,resolution_status,accepted_key,accepted_name,native_range_status
307761340,Cirsium acaulon,44.8845832839,5.787675169,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
93251772,Cirsium acaulon,44.90614,6.668685,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
312914981,Cirsium acaulon,44.80398,6.7550366667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
235077441,Cirsium acaulon,44.76941595,7.03816076,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
311684567,Cirsium acaulon,44.8318682402,15.6644419581,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
129690495,Cirsium acaulon,45.014252761,0.6582041785,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
132802850,Cirsium acaulon,45.1687540138,2.970767431,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
124741213,Cirsium acaulon,45.14359741,3.03098751,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
30534608,Cirsium acaulon,45.2117184861,5.5959718067,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
132162273,Cirsium acaulon,45.0534930247,5.9318521058,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
301814973,Cirsium acaulon,45.12794633,6.09001783,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
32705947,Cirsium acaulon,45.0339316667,6.4050466667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
174354419,Cirsium acaulon,45.0647335733,6.7025818303,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
235295328,Cirsium acaulon,45.2334420799,6.9617349894,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
29916354,Cirsium acaulon,45.0574250977,7.1400143656,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
127717817,Cirsium acaulon,45.1777134055,7.3824916407,ITA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
122473842,Cirsium acaulon,45.017553166,14.6727704432,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
30295958,Cirsium acaulon,45.0377042793,14.9177388202,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
319526740,Cirsium acaulon,45.1530389004,15.5948074578,YUG,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
127490924,Cirsium acaulon,45.3721616667,0.0552945,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
176777702,Cirsium acaulon,45.3239533333,0.3092616667,FRA,resolved_unique_accepted_key,206745508,Cirsium acaulon (L.) Scop.,native
