construct_id,tier,kind,predictor,n_taxa,beta_std,effect_magnitude,component_betas,p_value,q_bh,fdr_0_05,scale,module,direction,n_observations,standard_error,ci_low,ci_high,p_method,sampling_composition_stability_class,broad_spatial_sensitivity_pass,historical_placement_sensitivity_pass,robustness_status
floral_lightness,primary,scalar,chelsa_gsp,203,-0.0050799857320948,0.0050799857320948,,0.022429092666895,0.1121454633344751,False,within_taxon,colour,negative,40460.0,0.0022251149985639,-0.00944113099074,-0.0007188404734496,taxon_clustered_ols,,,,not_fdr_supported
head_compactness,primary,scalar,chelsa_gsp,141,-0.1395503080368358,0.1395503080368358,,0.0944,0.2498823529411764,False,among_taxon,head_form,negative,,,,,,,,,not_fdr_supported
head_compactness,primary,scalar,chelsa_gsp,200,0.0030942177365805,0.0030942177365805,,0.6111073178581264,0.8443636363636363,False,within_taxon,head_form,positive,38458.0,0.0060850687825579,-0.008832297920682,0.0150207333938431,taxon_clustered_ols,,,,not_fdr_supported
head_elongation,primary,scalar,chelsa_gsp,141,0.0028746226828065,0.0028746226828065,,0.9732,0.984134831460674,False,among_taxon,head_form,positive,,,,,,,,,not_fdr_supported
head_elongation,primary,scalar,chelsa_gsp,200,0.0002907860967709,0.0002907860967709,,0.9232617796432642,0.9987,False,within_taxon,head_form,positive,38458.0,0.0030187752384721,-0.0056259046480556,0.0062074768415976,taxon_clustered_ols,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_gsp,44,,0.292183455993833,"{""involucre_apical_taper_ratio"": -0.011175180095515753, ""involucre_basal_taper_ratio"": 0.19413597693584475, ""involucre_length_width_ratio"": -0.21807684371683783}",0.2904,0.4752,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
involucre_form,candidate,joint,chelsa_gsp,78,,0.0279495968702256,"{""involucre_apical_taper_ratio"": -0.015405029711799599, ""involucre_basal_taper_ratio"": -0.006333718646990627, ""involucre_length_width_ratio"": -0.022444354142800816}",0.6777,0.8937996495506824,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_gsp,44,,0.3027123516950983,"{""bract_projection_asymmetry"": 0.26777694996519935, ""bract_projection_peak_density"": 0.1411746185973669}",0.1393,0.3095121951219512,False,among_taxon,involucre,joint_no_single_direction,,,,,,,,,not_fdr_supported
projection_pattern,candidate,joint,chelsa_gsp,78,,0.0181447252651537,"{""bract_projection_asymmetry"": -0.01706286075452622, ""bract_projection_peak_density"": 0.006171696510649044}",0.5621,0.8159516129032259,False,within_taxon,involucre,joint_no_single_direction,2277.0,,,,within_taxon_predictor_permutation,,,,not_fdr_supported
projection_prominence,candidate,scalar,chelsa_gsp,44,0.3501930273638216,0.3501930273638216,,0.0223,0.1056315789473684,False,among_taxon,involucre,positive,,,,,,,,,not_fdr_supported
projection_prominence,candidate,scalar,chelsa_gsp,78,-0.0156891877806382,0.0156891877806382,,0.033671993113878,0.1273214420128883,False,within_taxon,involucre,negative,2277.0,0.0073867001694389,-0.0301668540773345,-0.0012115214839419,taxon_clustered_ols,,,,not_fdr_supported
presentation_angle,primary,scalar,chelsa_gsp,142,0.2580783524593076,0.2580783524593076,,0.0018,0.02025,True,among_taxon,presentation,positive,,,,,,stable_all_declared_scenarios,False,,sensitivity_not_passed
